"record_index","menu_code","resource_slot","music_id","title","bpm_primary","bpm_secondary","single_basic","single_trick","single_maniac","double_basic","double_trick","double_maniac","unlock_bit","artwork_selector","field_04","field_06","flags_0c","is_long_song","field_0e","field_10","title_address"
"42","18","17","0x00FD","TEST MY BEST","147","0","3","4","7","3","5","7","0","0x25","22","60","0x0000","False","0","0","0x8001DB10"
"29","19","18","0x00FE","NO LIMIT(RM Remix)","141","0","4","6","9","4","6","8","0","0x24","29","65","0x0000","False","0","0","0x8001DC04"
"27","20","19","0x00FF","MY GENERATION(Fat Beat Mix)","140","0","4","5","6","3","5","6","0","0x25","33","86","0x0004","False","0","0","0x8001DC2C"
"24","21","20","0x0103","MOONLIGHT SHADOW(New Vocal Version)","140","0","4","5","6","4","5","7","0","0x25","32","78","0x0005","False","0","0","0x8001DC7C"
"28","22","21","0x0104","NEVER ENDING STORY","140","0","3","6","7","3","6","7","0","0x28","34","71","0x0000","False","0","0","0x8001DC18"
"25","23","22","0x0105","MOVIN ON(Extended Moon Mix)","142","0","3","5","8","3","5","7","0","0x25","28","104","0x0006","False","0","0","0x8001DC60"
"37","24","23","0x0106","RIGHT NOW","130","0","3","5","6","4","5","7","0","0x24","40","87","0x0000","False","0","0","0x8001DB6C"
"46","25","24","0x0107","TRIBAL DANCE(Almighty Mix)","136","0","4","6","8","4","5","7","0","0x25","38","54","0x0007","False","0","0","0x8001DA9C"
"33","26","25","0x0108","OOPS!... I DID IT AGAIN(Fired Up MIX)","132","0","2","5","7","2","5","8","0","0x25","2","59","0x0108","True","0","0","0x8001DBAC"
"10","27","26","0x0109","DIVE","155","0","4","5","8","4","6","7","0","0xFF","18","63","0x0000","False","0","0","0x8001DD88"
"4","28","27","0x010A","AGAINST ALL ODDS(Definitive MIX)","139","0","3","5","7","3","5","7","0","0x25","36","62","0x0009","False","0","0","0x8001DDFC"
"3","29","28","0x010B","AFRONOVA PRIMEVAL","200","0","4","6","9","4","6","9","0","0x2B","6","68","0x0000","False","0","0","0x8001DE20"
"20","30","29","0x010D","INSERTiON","220","140","4","6","9","4","6","8","0","0xFF","37","70","0x0000","False","0","0","0x8001DCD0"
"8","31","30","0x010E","CAN'T STOP FALLIN' IN LOVE(SPEED MIX)","170","0","4","6","9","4","6","9","0","0x2A","13","93","0x000A","False","0","0","0x8001DDA4"
"1","32","31","0x00EC","ABSOLUTE","144","0","3","5","8","3","5","8","3","0xFC","24","88","0x0000","False","0","40","0x8001DE3C"
"13","33","32","0x00EE","DXY!","148","0","4","6","8","4","6","8","4","0xFC","21","57","0x0000","False","0","55","0x8001DD54"
"26","34","33","0x00EF","Mr.T.(take me higher)","128","0","3","5","7","3","5","7","5","0xFC","42","95","0x000B","False","0","25","0x8001DC48"
"21","35","34","0x00F1","I Was The One","125","0","3","5","7","3","5","6","6","0xFC","45","64","0x0000","False","0","35","0x8001DCC0"
"16","36","35","0x00F3","Electro Tuned(the SubS mix)","125","0","5","6","9","4","6","8","7","0xFC","44","103","0x000C","False","0","65","0x8001DD14"
"2","37","36","0x0101","Abyss","142","0","2","5","7","3","5","7","8","0xFC","26","83","0x0000","False","0","15","0x8001DE34"
"44","38","37","0x0100","THE CUBE","178","0","4","6","7","4","6","7","9","0xFC","11","84","0x0000","False","0","45","0x8001DAD4"
"35","39","38","0x010C","Radical Faith","114","0","4","6","8","3","6","8","10","0xFC","46","79","0x0000","False","0","60","0x8001DB88"
"39","40","39","0x0102","SANA MORETTE NE ENTE","90","0","2","5","8","2","5","8","11","0xFC","48","72","0x0009","False","0","20","0x8001DB40"
"18","41","40","0x012B","Healing Vision(Angelic mix)","196","46","5","7","9","5","7","9","12","0xFF","9","100","0x0000","False","0","90","0x8001DCE8"
"22","42","41","0x012C","Look To The Sky","140","0","3","4","6","2","5","7","13","0xFF","35","91","0x0000","False","0","50","0x8001DCB0"
"12","43","42","0x012D","Do It Right","135","0","4","5","7","4","5","8","14","0xFF","39","99","0x0000","False","0","75","0x8001DD5C"
"32","44","43","0x012E","ON THE JAZZ","130","0","2","4","7","3","5","7","15","0xFF","41","82","0x0000","False","0","30","0x8001DBD4"
"11","45","44","0x012F","DIVE(more deep & deeper style)","155","0","3","5","7","2","5","6","16","0xFF","19","90","0x0000","False","0","80","0x8001DD68"
"30","46","45","0x0130","NORI NORI NORI","160","0","3","2","2","3","2","2","17","0x31","15","98","0x0000","False","0","5","0x8001DBF4"
"43","47","46","0x0131","The Centre Of The Heart(STONEBRIDGE CLUBMIX)","128","0","2","1","1","2","1","1","18","0x00","43","89","0x0000","False","0","10","0x8001DAE0"
