start_address,end_address,size,type,confidence,source_status,description
0x801e5fb0,0x801e5fe7,56,code,verified,hand_written_source,Overlay function FUN_801e5fb0
0x801e5fe8,0x801e600b,36,code,verified,hand_written_source,Overlay function FUN_801e5fe8
0x801e600c,0x801e601b,16,code,verified,hand_written_source,Overlay function FUN_801e600c
0x801e601c,0x801e6083,104,code,verified,hand_written_source,Overlay function FUN_801e601c
0x801e6084,0x801e6187,260,code,verified,hand_written_source,Overlay function FUN_801e6084
0x801e6188,0x801e61b3,44,code,verified,hand_written_source,Overlay function FUN_801e6188
0x801e61b4,0x801e61df,44,code,verified,hand_written_source,Overlay function FUN_801e61b4
0x801e61e0,0x801e620b,44,code,verified,hand_written_source,Overlay function FUN_801e61e0
0x801e620c,0x801e626f,100,code,verified,hand_written_source,Overlay function FUN_801e620c
0x801e6270,0x801e631f,176,code,verified,hand_written_source,Overlay function FUN_801e6270
0x801e6320,0x801e634b,44,code,verified,hand_written_source,Overlay function FUN_801e6320
0x801e634c,0x801e6407,188,code,verified,hand_written_source,Overlay function FUN_801e634c
0x801e6408,0x801e64d3,204,code,verified,hand_written_source,Overlay function FUN_801e6408
0x801e64d4,0x801e64db,8,code,verified,hand_written_source,Overlay function FUN_801e64d4
0x801e64dc,0x801e64e3,8,code,verified,hand_written_source,Overlay function FUN_801e64dc
0x801e64e4,0x801e65eb,264,data_table,verified,hand_written_source,Semantic scripted tick and interpolation parameter tables
0x801e65ec,0x801e664b,96,data_table,verified,hand_written_source,Semantic scripted parameter pointer arrays
0x801e664c,0x801e66c3,120,data_table,verified,hand_written_source,Semantic callback command parameter arrays
0x801e66c4,0x801e69d3,784,command_list,verified,reference_structure,"97-step command script (96 callbacks, 1 jump, 1,910 total ticks) followed by its null callback terminator"
0x801e69d4,0x801e69d7,4,data_record,verified,reference_structure,"Runtime counter used by FUN_801e6408 to generate a small oscillating vertical offset"
0x801e69d8,0x801e69fb,36,data_table,verified,reference_structure,"Nine-word initialization/default table copied by FUN_801e5040 before it walks the adjacent 28-byte records"
0x801e69fc,0x801e6b83,392,data_table,verified,reference_structure,"Fourteen 28-byte initialization records consumed by FUN_801e5040: records 0-12 begin with pointers to 0x801e6c8c+i*0x20 and contain six further fields; record 13 at 0x801e6b68 is entirely zero and terminates the pointer-tested walker. The former unresolved 0x801e6b6c-0x801e6b83 span is the final 24 bytes of that complete sentinel record"
0x801e6b84,0x801e6ba3,32,data_table,verified,hand_written_source,"Two 16-byte banks of low-nibble bitmask selectors, each with a zero sentinel at index 0 and non-zero entries 1-15. Raw-MIPS verification on 2026-07-25 proved FUN_801e5178 indexes base+selector*16+row and expands each selected byte through 8 AND tests into 8 booleans. Rows 0 and 16 bypass the load; the only in-overlay call chain writes and reloads selector word 0 immediately before forwarding it, so the reachable access set is exactly first-bank indices 1-15. The former plane-1/row-16 one-past-end concern is retracted: row 16 never loads, and even hypothetical selector 1 rows 1-15 remain inside offsets 17-31. Bank 1 is structurally present but dormant on the verified route; no audio/note semantic is asserted. Reproduced by tools/ddr5thmix/Test-InstDemoRecordArray.ps1 without embedding literal table bytes"
0x801e6ba4,0x801e6c63,192,data_table,verified,hand_written_source,"Sixteen-slot array of 3xint32 (12-byte-stride) timing/threshold records: slots 0-13 are populated and slots 14-15 (the former unresolved 0x801e6c4c-0x801e6c63 span) are entirely zero. FUN_801e5758 computes base+signed_index*12 and reads the three fields. The hash-gated main executable computes RNG modulo 12 before passing the selector to the overlay init entry, so observed static reachability is limited to slots 0-11; populated slots 12-13 and zero slots 14-15 are dormant on that route. No terminator or domain semantic is asserted for the zero slots"
0x801e6c64,0x801e6c8b,40,data_table,verified,hand_written_source,"Two adjacent 20-byte 0/1 draw-enable flag arrays (0x801e6c64-0x801e6c77 and 0x801e6c78-0x801e6c8b). Found via full Ghidra auto-analysis (2026-07-23) resolving two more split lui/addiu pairs. FUN_801e5f08 (a direct callee of the already-verified Init Entry FUN_801e413c, caller-struct offset +1320) unconditionally byte-copies the first 20-byte half into the caller struct; FUN_801e58dc (a direct callee of the already-verified Update Entry FUN_801e41e8, same +1320 offset) copies per-index from either half, selected by a bit test on a caller-struct flag, then reads the copied bytes back as a 0/1 gate on up to ~19 per-slot calls to the already-documented external GPU helper 0x80056a08. Retracts the prior claim that FUN_801e58dc has no reference to any address in this data range"
0x801e6c8c,0x801e6e2b,416,data_table,verified,reference_structure,"Array of 13x32-byte GPU textured-quad (PolyFT4-style) sprite/tile draw-parameter records: i32 x@+0x00, y@+0x04, w@+0x08, h@+0x0c, GPU ordering-table index@+0x10, 2 flag bytes@+0x14/+0x15, ~10 bytes reserved; all-zero at rest, populated at runtime. Base addresses come from a 13-entry pointer table in the command-list block (0x801e69fc, 28-byte stride) that FUN_801e5040 walks at init to copy default fields in; 8 overlay functions (FUN_801e6270, FUN_801e6320, FUN_801e634c, FUN_801e4e70, FUN_801e4f68, FUN_801e6408 x3, FUN_801e5040) write per-record x/y/w/h fields and pass the record pointer to FUN_801e4978, which decompiles as a PSX GPU FT4 primitive builder reading exactly those fields"
0x801e6e2c,0x801e6e4b,32,data_table,verified,reference_structure,"14th record of the same 32-byte draw-parameter shape as the preceding array, populated directly by FUN_801e5040 via two calls to FUN_801e601c (a distinct sprite-metadata rect-builder) at the record's +0x00 and +0x10 sub-offsets rather than through the 13-entry pointer table; all-zero at rest"
0x801e6e4c,0x801e6e57,12,data_table,verified,reference_structure,"12-byte, 3xint32-field preset/selector record (flag@+0x00, value@+0x04, constant@+0x08), written identically by 3 near-duplicate overlay functions (FUN_801e6188, FUN_801e61b4, FUN_801e61e0) that each also set record-index-9's x field (0x801e6dac) to the same value; read back by FUN_801e4e70 to drive index-9's animated on-screen x/y position. All-zero at rest"
